1,1,0.0033222591362126247,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
32,2,0.10631229235880399,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
33,1,0.10963455149501661,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
33,2,0.10963455149501661,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 75 kW, 2100-0000: 100 kW])
34,1,0.11295681063122924,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
34,2,0.11295681063122924,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
35,1,0.11627906976744186,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
35,2,0.11627906976744186,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 75 kW])
36,1,0.11960132890365449,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
36,2,0.11960132890365449,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
37,1,0.12292358803986711,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
37,2,0.12292358803986711,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
38,1,0.12624584717607973,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
38,2,0.12624584717607973,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 25 kW])
39,1,0.12956810631229235,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
39,2,0.12956810631229235,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 75 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
40,1,0.132890365448505,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
40,2,0.132890365448505,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 75 kW])
41,1,0.1362126245847176,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
41,2,0.1362126245847176,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 75 kW, 1800-2100: 75 kW, 2100-0000: 75 kW])
42,1,0.13953488372093023,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
42,2,0.13953488372093023,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 75 kW])
43,1,0.14285714285714285,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
43,2,0.14285714285714285,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
44,1,0.1461794019933555,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
44,2,0.1461794019933555,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
45,1,0.14950166112956811,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
45,2,0.14950166112956811,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 75 kW])
46,1,0.15282392026578073,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
46,2,0.15282392026578073,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 75 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
47,1,0.15614617940199335,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
47,2,0.15614617940199335,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 25 kW])
48,1,0.15946843853820597,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
48,2,0.15946843853820597,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 75 kW, 2100-0000: 100 kW])
49,1,0.16279069767441862,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
49,2,0.16279069767441862,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 75 kW])
50,1,0.16611295681063123,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
50,2,0.16611295681063123,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 75 kW, 2100-0000: 100 kW])
51,1,0.16943521594684385,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
51,2,0.16943521594684385,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 75 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
52,1,0.17275747508305647,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
52,2,0.17275747508305647,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 75 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
53,1,0.1760797342192691,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
53,2,0.1760797342192691,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 75 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
54,1,0.17940199335548174,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
54,2,0.17940199335548174,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 25 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
55,1,0.18272425249169436,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
55,2,0.18272425249169436,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 50 kW, 1800-2100: 75 kW, 2100-0000: 100 kW])
56,1,0.18604651162790697,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
56,2,0.18604651162790697,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 75 kW, 2100-0000: 100 kW])
57,1,0.1893687707641196,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
57,2,0.1893687707641196,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 50 kW, 1800-2100: 100 kW, 2100-0000: 75 kW])
58,1,0.19269102990033224,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
58,2,0.19269102990033224,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
59,1,0.19601328903654486,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
59,2,0.19601328903654486,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 75 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 75 kW, 2100-0000: 75 kW])
60,1,0.19933554817275748,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
60,2,0.19933554817275748,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
61,1,0.2026578073089701,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
61,2,0.2026578073089701,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 75 kW])
62,1,0.2059800664451827,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
62,2,0.2059800664451827,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 75 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 75 kW, 2100-0000: 75 kW])
63,1,0.20930232558139536,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
63,2,0.20930232558139536,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
